# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Dec 01 10:35:22 CET 2022 [seed=1669887316577]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.AB.country.cont0.dump.txt RSV.AB.country.xml
state	joint	prior	likelihood	country.clock.rate.A	country.clock.rate.B	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.includedPredictors	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.branchRates.A	country.branchRates.B	country.treeLikelihood.A	country.treeLikelihood.B
380000	-3489.3287778031345	-285.1780896113494	-3204.1506881917853	0.0796920466029186	0.14392330351553217	1.4100781870082408	-1.4829322169718036	-0.6539189371882046	0.6026697171903871	-0.14423110577916545	1.0	1.0	1.0	1.0	0.0	4.0	1.4100781870082408	-1.4829322169718036	-0.6539189371882046	0.6026697171903871	-0.0	0.0	0.0	-1470.105138013699	-1734.0455501780864
390000	-3489.2289931756445	-308.27982477346404	-3180.9491684021805	0.08229438801423676	0.16184908596848047	1.8110521542591844	1.247819318293638	-0.6040759662729368	0.8718453378767764	1.5351828321721674	1.0	0.0	1.0	1.0	0.0	3.0	1.8110521542591844	0.0	-0.6040759662729368	0.8718453378767764	0.0	0.0	0.0	-1473.1860668454267	-1707.7631015567536
400000	-3472.659499890853	-325.2269607596977	-3147.4325391311554	0.08881017766065215	0.16927310654198044	1.5145644646701573	4.089707977550782	-0.5388514847591187	0.6066503986576841	0.08631400591901214	1.0	0.0	1.0	1.0	1.0	4.0	1.5145644646701573	0.0	-0.5388514847591187	0.6066503986576841	0.08631400591901214	0.0	0.0	-1451.1920688831653	-1696.24047024799
410000	-3470.294801865467	-323.097125064033	-3147.1976768014338	0.08673645667683784	0.17389545986779087	1.291297279779344	-0.7475309977302541	-0.48839725808737855	0.6748876471691503	2.0827541881366174	1.0	1.0	1.0	1.0	0.0	4.0	1.291297279779344	-0.7475309977302541	-0.48839725808737855	0.6748876471691503	0.0	0.0	0.0	-1460.311022120656	-1686.886654680778
420000	-3487.0236966429306	-303.3828333975639	-3183.6408632453667	0.08591148807573976	0.14681023448638808	1.804157212764491	-0.40020017182888257	-0.6191572414892555	0.8818583357742243	0.13445706381968592	1.0	0.0	1.0	1.0	1.0	4.0	1.804157212764491	-0.0	-0.6191572414892555	0.8818583357742243	0.13445706381968592	0.0	0.0	-1462.704628655513	-1720.9362345898535
430000	-3480.1400353295494	-327.81275485469956	-3152.32728047485	0.09102412327269103	0.1670137576434779	1.3701913990393053	-0.8888339483120926	-0.5503814806962891	0.610025788142619	2.7428000960227665	1.0	0.0	1.0	1.0	0.0	3.0	1.3701913990393053	-0.0	-0.5503814806962891	0.610025788142619	0.0	0.0	0.0	-1460.310544191842	-1692.016736283008
440000	-3471.8185483692423	-314.56827818375757	-3157.2502701854846	0.08239663058790737	0.16782374986406517	1.6998093349782426	1.5525327509817153	-0.6044033485709698	0.8194981594137457	-0.37202979272064535	1.0	0.0	1.0	1.0	0.0	3.0	1.6998093349782426	0.0	-0.6044033485709698	0.8194981594137457	-0.0	0.0	0.0	-1466.31904479512	-1690.931225390365
450000	-3471.612469784313	-325.55906221134967	-3146.0534075729634	0.09493237936225224	0.15542018361964938	1.4952802237939953	-0.13803272970974326	-0.5472668921502772	0.5986920175122913	0.12184682783029761	1.0	1.0	1.0	1.0	1.0	5.0	1.4952802237939953	-0.13803272970974326	-0.5472668921502772	0.5986920175122913	0.12184682783029761	0.0	0.0	-1446.8706585432014	-1699.182749029762
460000	-3500.953258476699	-316.3493564363706	-3184.603902040328	0.07707324396295265	0.17289174938166557	1.466672829426117	-3.5389332301207124	-0.5498223013369687	0.5245376704275523	0.2663855282419601	1.0	0.0	1.0	1.0	1.0	4.0	1.466672829426117	-0.0	-0.5498223013369687	0.5245376704275523	0.2663855282419601	0.0	0.0	-1488.1696416625455	-1696.4342603777827
470000	-3477.428827287336	-317.0256376953335	-3160.4031895920025	0.09068995756701628	0.15565495066187562	1.7294279038877298	1.723434546946438	-0.4637298587643601	0.7149755769680255	-0.43332647410028224	1.0	0.0	1.0	1.0	0.0	3.0	1.7294279038877298	0.0	-0.4637298587643601	0.7149755769680255	-0.0	0.0	0.0	-1452.395464514901	-1708.0077250771017
