# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Dec 01 10:35:11 CET 2022 [seed=1669887305152]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.AB.country.cont0.dump.txt RSV.AB.country.xml
state	joint	prior	likelihood	country.clock.rate.A	country.clock.rate.B	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefficients6	country.coefficients7	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.coefIndicators6	country.coefIndicators7	country.includedPredictors	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.coefficientsTimesIndicators6	country.coefficientsTimesIndicators7	country.branchRates.A	country.branchRates.B	country.treeLikelihood.A	country.treeLikelihood.B
0	-6313.523999417037	-2684.334412659977	-3629.1895867570597	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1830.73801710412	-1798.4515696529397
10000	-3320.1916531478137	-279.10700138190805	-3041.0846517659056	0.07719739288494476	0.13124080767873467	1.1646386079345483	-1.0985145028995018	-0.3361842255123957	0.31207225509628445	1.820184800914116	1.0843166050263564	0.811399979809786	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	1.1646386079345483	-0.0	-0.3361842255123957	0.31207225509628445	0.0	1.0843166050263564	0.811399979809786	0.0	0.0	-1429.6016834183777	-1611.482968347528
20000	-3310.968822541977	-238.36767862293368	-3072.6011439190434	0.07122806435226935	0.10925784427959283	0.988969601848696	0.8695696336916309	-0.27812558879705507	1.615163150005081	-0.13915641291928493	1.2643255944842193	0.7785010264508613	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.988969601848696	0.0	-0.27812558879705507	0.0	-0.0	1.2643255944842193	0.7785010264508613	0.0	0.0	-1432.1193662262003	-1640.481777692843
30000	-3304.5957209509597	-266.06537547610867	-3038.530345474851	0.07327757897147144	0.12174593244972344	1.179299932481467	-2.675224174183367	-0.40323373698044707	0.26118108436220444	1.4636983130885048	0.9311819225218255	0.8067179879657361	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	1.179299932481467	-0.0	-0.40323373698044707	0.26118108436220444	0.0	0.9311819225218255	0.8067179879657361	0.0	0.0	-1412.3993072997557	-1626.1310381750955
40000	-3321.446924342324	-254.80464873561414	-3066.64227560671	0.07114120755609146	0.12083382005077262	0.8281107430981685	-1.728904533112528	-0.29590216448905343	-1.4551894965055654	2.1757142065857527	1.2385009959408164	0.7398874144469876	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.8281107430981685	-0.0	-0.29590216448905343	-0.0	0.0	1.2385009959408164	0.7398874144469876	0.0	0.0	-1439.1878064690884	-1627.4544691376216
50000	-3309.3636891539727	-258.3576433552797	-3051.006045798693	0.07786480407988573	0.11387199088927227	1.1389070315937733	-1.7523677706087768	-0.28684254753927024	0.25906947279893505	-1.3094406996642298	1.0493780118157918	0.804035370783539	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	1.1389070315937733	-0.0	-0.28684254753927024	0.25906947279893505	-0.0	1.0493780118157918	0.804035370783539	0.0	0.0	-1415.854938546835	-1635.1511072518576
60000	-3330.884444881747	-253.1568058438672	-3077.72763903788	0.07042067376573101	0.12770585011906052	0.975556325682079	-0.7279210903316508	-0.23254040270634208	0.3148621444284669	-0.006858871162386227	1.299258208494219	0.8038326112105795	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.975556325682079	-0.0	-0.23254040270634208	0.0	-0.0	1.299258208494219	0.8038326112105795	0.0	0.0	-1449.7001049545468	-1628.0275340833334
70000	-3312.5583268994933	-266.7018376488429	-3045.85648925065	0.07249631287006765	0.12377709444395027	1.3445883724496297	2.3255378086659766	-0.4228612523413818	0.3425921593697061	-2.407038204620171	0.9553495933647216	0.8251654802646304	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	1.3445883724496297	0.0	-0.4228612523413818	0.3425921593697061	-0.0	0.9553495933647216	0.8251654802646304	0.0	0.0	-1425.0765425023296	-1620.7799467483205
80000	-3332.6331002591796	-256.5694953943383	-3076.063604864841	0.06980519566881149	0.12406491172698124	1.032371363827549	0.7602319603687928	-0.25020586126074246	-0.46264394272064974	2.3311030801176904	1.2594996421629698	0.8591494857491186	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	1.032371363827549	0.0	-0.25020586126074246	-0.0	0.0	1.2594996421629698	0.8591494857491186	0.0	0.0	-1444.1023611580854	-1631.9612437067558
90000	-3321.0548599943813	-240.6723083073482	-3080.382551687033	0.07528646703441266	0.10366672311238816	0.8295211883482584	-0.14675903772350601	-0.2543526055185942	1.9026100132263466	-0.0010450794734324486	1.1777829872030583	0.8571623752175043	1.0	1.0	1.0	0.0	0.0	1.0	1.0	5.0	0.8295211883482584	-0.14675903772350601	-0.2543526055185942	0.0	-0.0	1.1777829872030583	0.8571623752175043	0.0	0.0	-1430.4643747614628	-1649.91817692557
100000	-3315.162642682681	-249.94002811994693	-3065.222614562734	0.06951802671487275	0.12147692306167024	1.0726381086886414	-1.3674773673158616	-0.4677554206290325	0.2054916543847309	0.7988863240746833	1.1104445698045027	0.7589625634459324	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	1.0726381086886414	-0.0	-0.4677554206290325	0.2054916543847309	0.0	1.1104445698045027	0.7589625634459324	0.0	0.0	-1433.4099629859584	-1631.8126515767758
110000	-3314.341056800432	-272.8197360707704	-3041.5213207296615	0.07004898210583425	0.1326336726935627	0.9288564016583423	-5.574340328542321	-0.31770651190691085	1.9155549915191228	-0.508597068294016	1.218010997534407	0.844470863942662	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.9288564016583423	-0.0	-0.31770651190691085	0.0	-0.0	1.218010997534407	0.844470863942662	0.0	0.0	-1431.6883372343177	-1609.8329834953438
120000	-3316.8058324605145	-248.05939707257576	-3068.7464353879386	0.07222545764828919	0.11631089895406228	1.061809763895764	2.967782303029109	-0.3714086342393718	-0.5663086853108151	3.2777138360577656	1.2884499996263894	0.8943733521038907	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	1.061809763895764	0.0	-0.3714086342393718	-0.0	0.0	1.2884499996263894	0.8943733521038907	0.0	0.0	-1430.1840749900068	-1638.5623603979318
130000	-3325.761693368529	-249.82168059610385	-3075.9400127724252	0.07504975036393505	0.11100871344989353	1.0640682896785962	0.562233955759897	-0.34135240977052606	0.12708306358251314	4.294466705244634	1.1950014855361133	0.791600819602347	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	1.0640682896785962	0.0	-0.34135240977052606	0.12708306358251314	0.0	1.1950014855361133	0.791600819602347	0.0	0.0	-1439.8705255943844	-1636.0694871780408
140000	-3319.789469332987	-239.67808438628435	-3080.111384946703	0.06976841902967147	0.10533710438747962	0.9535827609484168	2.412797257508957	-0.3174268595854008	2.000238078154991	1.5804618750658754	1.2624146196240895	0.8216931566040946	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.9535827609484168	0.0	-0.3174268595854008	0.0	0.0	1.2624146196240895	0.8216931566040946	0.0	0.0	-1436.42655083616	-1643.6848341105426
150000	-3314.7614899059713	-262.3376024262447	-3052.4238874797265	0.07354643104283903	0.12493699405375554	0.9989719754722396	-0.32331275697006145	-0.3080461852200655	2.096516910398498	0.24160056522633644	1.1769474445359887	0.799354528174499	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.9989719754722396	-0.0	-0.3080461852200655	0.0	0.0	1.1769474445359887	0.799354528174499	0.0	0.0	-1437.6019396325632	-1614.8219478471633
160000	-3319.0000403539475	-256.47955853757816	-3062.5204818163693	0.07625318598594306	0.11977708003702121	0.8244606587835144	0.29868646417281947	-0.2868326459432948	-0.7626249229599142	0.5853721598970628	1.1495990820274005	0.7281999787159154	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.8244606587835144	0.0	-0.2868326459432948	-0.0	0.0	1.1495990820274005	0.7281999787159154	0.0	0.0	-1424.815787949153	-1637.7046938672165
170000	-3325.5646526805563	-239.7457776822544	-3085.818874998302	0.07098803274470089	0.10898275814381213	1.0431823938130997	1.2592517669715695	-0.2717380433238344	-2.4055009071322724	1.7122675699589778	1.2721005977082596	0.9505555097645468	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	1.0431823938130997	0.0	-0.2717380433238344	-0.0	0.0	1.2721005977082596	0.9505555097645468	0.0	0.0	-1447.8567284685844	-1637.9621465297178
180000	-3319.1696828483073	-252.00185867834588	-3067.1678241699615	0.0696590462993565	0.12357414373531794	1.1782162901381337	-0.6276254592395757	-0.3553147952505996	0.26281770953896183	2.591277786986537	1.105884585002836	0.7568087315116556	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	1.1782162901381337	-0.0	-0.3553147952505996	0.26281770953896183	0.0	1.105884585002836	0.7568087315116556	0.0	0.0	-1433.8479777124994	-1633.319846457462
190000	-3313.7173924098556	-257.5651129430347	-3056.152279466821	0.07375943360111181	0.12271693905776254	0.8687368806970222	0.9994482637717846	-0.27227127532413997	-0.7176922768266166	-2.6642916901841716	1.3018493494897199	0.9153727408062167	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.8687368806970222	0.0	-0.27227127532413997	-0.0	-0.0	1.3018493494897199	0.9153727408062167	0.0	0.0	-1428.191053410237	-1627.9612260565839
200000	-3337.631418659838	-226.8422118712472	-3110.7892067885905	0.06705544662537885	0.09902602243500734	1.0457135727004325	-4.3901367840979795	-0.26202668520618727	2.58901462439355	-1.2060310072560612	1.4484298126377047	0.7845485870124111	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	1.0457135727004325	-0.0	-0.26202668520618727	0.0	-0.0	1.4484298126377047	0.7845485870124111	0.0	0.0	-1450.3665498456191	-1660.4226569429713
210000	-3325.6081050527046	-264.00244507022865	-3061.605659982476	0.07767677189149114	0.11773440438910286	0.8662763496035665	-0.9693721738207359	-0.35367190616863264	3.6259726465809496	0.09256349297370417	1.2171672266142912	0.8212755340015547	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.8662763496035665	-0.0	-0.35367190616863264	0.0	0.0	1.2171672266142912	0.8212755340015547	0.0	0.0	-1429.749543517114	-1631.856116465362
220000	-3324.6427834419956	-263.8113581608483	-3060.8314252811474	0.06974672247888318	0.12479712701490653	0.8839772608062357	4.706789274804643	-0.2977507258500143	0.01894070447555872	0.0660238594634145	1.1313014534865418	0.7605698580082327	1.0	0.0	1.0	0.0	1.0	1.0	1.0	5.0	0.8839772608062357	0.0	-0.2977507258500143	0.0	0.0660238594634145	1.1313014534865418	0.7605698580082327	0.0	0.0	-1434.2322165411	-1626.5992087400475
230000	-3316.5577994275027	-282.78623857359344	-3033.7715608539092	0.07057514988761505	0.14669083920261142	1.143132228226386	3.6376178413886553	-0.4456960245418789	0.22368472820142524	0.07586848109277322	1.0153823082665805	0.8150471636691003	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	1.143132228226386	0.0	-0.4456960245418789	0.22368472820142524	0.0	1.0153823082665805	0.8150471636691003	0.0	0.0	-1433.035365618579	-1600.7361952353301
240000	-3314.2847927691687	-245.43170853002806	-3068.8530842391406	0.06854385074272752	0.11700797666194865	1.232993046442286	0.16185625742461623	-0.36366016759339476	0.2716643955693134	-0.7627379773391717	1.116617404305468	0.7547050990190454	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	1.232993046442286	0.0	-0.36366016759339476	0.2716643955693134	-0.0	1.116617404305468	0.7547050990190454	0.0	0.0	-1433.954383789837	-1634.8987004493035
250000	-3320.6652350435156	-239.2464561563088	-3081.418778887207	0.07140671211783207	0.11211934499194187	0.9706142610640488	1.7113561040764527	-0.3326517425780247	-0.022781723389688997	-1.2527097311992081	1.3191829989048176	0.8347661101043483	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.9706142610640488	0.0	-0.3326517425780247	-0.0	-0.0	1.3191829989048176	0.8347661101043483	0.0	0.0	-1444.017471112629	-1637.4013077745778
260000	-3332.9797034694725	-266.0231616875395	-3066.956541781933	0.07476244236214295	0.12634098533572216	0.9856688329493452	3.732460167542439	-0.3203419845823729	0.12280822163434463	-2.2213381474253304	1.0491040960288909	0.8450410165897586	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	0.9856688329493452	0.0	-0.3203419845823729	0.12280822163434463	-0.0	1.0491040960288909	0.8450410165897586	0.0	0.0	-1436.8722854583925	-1630.0842563235408
270000	-3324.9753828660587	-244.16388833703414	-3080.8114945290245	0.06309224203319624	0.1198575798259929	0.8347464294339665	-0.4302724934594506	-0.26816956708877665	-3.560096118877609	1.533499400700498	1.3028977283527894	0.8560735516995427	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.8347464294339665	-0.0	-0.26816956708877665	-0.0	0.0	1.3028977283527894	0.8560735516995427	0.0	0.0	-1445.5660241871324	-1635.2454703418923
280000	-3316.5201906940792	-256.4659153060477	-3060.0542753880313	0.07397985124216687	0.12358213561962957	0.9708891113875996	-2.203384099852229	-0.38144207400556196	-0.7902580089572481	0.6374682109570808	1.1818858156834076	0.9070388131424028	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.9708891113875996	-0.0	-0.38144207400556196	-0.0	0.0	1.1818858156834076	0.9070388131424028	0.0	0.0	-1431.6278414709475	-1628.4264339170838
