state	Tree Length	tMRCA	External/Internal ratio	FuLiD
0	990.5449347928495	9.577066435044188	4.268059861764932	-18.755799320646826
1	995.7077762528306	9.81929098836981	4.369993496741313	-18.862546208408535
2	1005.3152456346608	9.808616533233653	4.35255171727279	-18.85436226669685
3	1007.3992132838434	9.76230397883567	4.452907024633635	-18.953562338840353
4	1002.5936023841823	9.708418092595238	4.41296727441929	-18.910815425628826
5	1007.6330543353722	9.662806990580982	4.4155297889652125	-18.917970161163836
6	1014.6909514020499	10.065771952758615	4.34420069586886	-18.854705269934172
7	1004.9612774655087	9.629121048328306	4.358352186158029	-18.8597554072185
8	1017.6250448125484	9.823007813836442	4.391250865037569	-18.90358921839251
9	1017.5666808261728	9.887704152163337	4.373256010706176	-18.885953689086083
10	1025.5436199689188	9.883462180855107	4.4032236059164065	-18.92235737406181
11	1025.5483758436442	9.918393942362753	4.359626650111364	-18.87973357727624
12	1033.7149807738901	10.01195912326667	4.37613226001074	-18.903195308870536
13	1024.8726569810342	9.619778232105283	4.411932955938922	-18.93019002457536
14	1026.027445725159	9.761276568500385	4.434491112703448	-18.952942119712795
15	1013.3080009101271	9.61341970717655	4.201206088892022	-18.70786454640563
16	1009.0418527731726	9.506333925983956	4.3361763448973365	-18.841579176251912
17	1015.519526206096	9.642747464541038	4.310307971660535	-18.82165785627796
18	1024.28815453741	9.58873797005515	4.318802869220304	-18.83805987696381
19	1015.5233173911752	9.76021840045259	4.213706337397782	-18.722911263362903
20	1033.3078956993309	9.8649699393257	4.419498084638922	-18.944997134016656
21	1031.5132151712119	9.676377143219778	4.399666526477846	-18.924215538462597
22	1028.368910230867	9.781534948485927	4.466466633636688	-18.985515246576483
23	1025.0134844098097	9.91483069499028	4.533346671260681	-19.045116557229218
24	1006.4358454625298	10.005319120809997	4.447173231443241	-18.947207567882643
25	1010.295794102108	10.007040376297734	4.400623277831087	-18.906005523375768
26	1010.8608847237497	10.00073558358609	4.480167434707434	-18.98257358776248
27	1009.7121994587862	10.012877167258349	4.604650420133877	-19.0961868524428
28	1019.3906434343913	10.260354741295306	4.387286636348629	-18.90132426301015
29	1015.9891844692515	10.048138558965913	4.428718034464536	-18.938335438701152
30	1019.4960448176512	10.581736886487846	4.562087882831569	-19.066554251234077
31	1018.8640865185611	10.377316829936744	4.4734473396313525	-18.983559807060356
32	1029.6201290780928	10.27812730465992	4.53566492375242	-19.051394418543353
33	1021.809083214243	10.018635251548387	4.46666669716564	-18.979813062218263
34	1029.4231227651665	9.97856275991671	4.533428017541556	-19.049150103391874
35	1037.844976906855	10.150849710290526	4.517070493728034	-19.041442573430793
36	1033.5820607934882	10.108431588114756	4.366475294673015	-18.89359690199738
37	1015.9048675271921	9.961955930252913	4.300636311865896	-18.81228227814322
38	1029.4622144348286	10.269058150625659	4.499231239197937	-19.01735804635729
39	1023.414668496102	10.24301069734633	4.416897817390101	-18.933676887220287
40	1019.9961864923755	10.19704675719732	4.539977262147603	-19.046697267523633
41	1029.5891284030279	10.04071635036915	4.314442659572598	-18.83840047204032
42	1051.044797713823	10.38501883457545	4.45031999103113	-18.989991845252465
43	1048.0561901192561	10.071590279322802	4.440714014215431	-18.978242549762737
44	1030.8988293840923	9.94962101039491	4.369896583119328	-18.894592511214974
45	1032.9114358576855	10.156803994668515	4.287423863054569	-18.81409251092339
46	1042.2459890303642	10.082897290023265	4.346745691272755	-18.881677194534436
47	1022.5719326984896	10.038371178855108	4.316781470794437	-18.834501797855772
