Australia	normalized entropy	0.892617768095949	0.841399809077806	0.938076302424094
Brazil	normalized entropy	0.900304816237482	0.826298709570061	0.950877952383264
Russia	normalized entropy	0.887862395166273	0.846734952364204	0.921545829124303
SouthAfrica	normalized entropy	0.331351474505532	0.279063931409605	0.375645628558756
Canada	normalized entropy	0.820415546525145	0.755771702398605	0.871917853066832
Finland	normalized entropy	0.717948577545531	0.542927656725725	0.863198242042364
Germany	normalized entropy	0.876038637880608	0.821819012089096	0.929032883973367
Italy	normalized entropy	0.868739631675338	0.740064139307986	0.988641494260674
Netherlands	normalized entropy	0.884609725198318	0.817298169349648	0.937993897805833
Spain	normalized entropy	0.911361706656348	0.843795605151852	0.963743462084251
Taiwan	normalized entropy	0.923713574701706	0.83299118303399	0.986498727093683
France	normalized entropy	0.913919978301621	0.855548680824774	0.960703977809634
SouthKorea	normalized entropy	0.842951982194928	0.642701138123443	0.931247744236566
UnitedKingdom	normalized entropy	0.940642457177661	0.874312309740459	0.993653443656523
Japan	normalized entropy	0.883851686323502	0.808438946525832	0.940522442065165
