Australia	normalized entropy	0.688796363316777	0.518183838227406	0.892747010632961
Brazil	normalized entropy	0.845690813507363	0.710588023503506	0.936315138901694
Russia	normalized entropy	0.915981309508689	0.87125799196271	0.955624876664435
SouthAfrica	normalized entropy	0.751034243950927	0.591957209898563	0.824399447324301
Canada	normalized entropy	0.888388586465313	0.762319660106465	0.96767090151599
Finland	normalized entropy	0.567764807216531	0.180789301631161	0.888241088347064
Germany	normalized entropy	0.692484798229177	0.209232320929199	0.999990863230866
Italy	normalized entropy	0.153749867671216	0	0.879917587852607
Netherlands	normalized entropy	0.918732531798171	0.839216876118111	0.990296446957503
Spain	normalized entropy	0.881781179620152	0.763670648885904	0.985254665303489
Taiwan	normalized entropy	0.920127642312937	0.772625575477632	0.992943184205199
France	normalized entropy	0.918299013548278	0.846843272693649	0.985664124915869
SouthKorea	normalized entropy	0.90999783932095	0.842276497132785	0.978871915069675
UnitedKingdom	normalized entropy	0.89872598330547	0.662983094218434	0.999992862351008
Japan	normalized entropy	0.919936100805625	0.7803454572792	0.994314400555368
Mexico	normalized entropy	0.932357275530288	0.807132153044854	0.99989157358951
