# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 30 14:30:20 CET 2022 [seed=1669815016066]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.A.1213.country.cont0.dump.txt RSV.A.1213.country.xml
state	joint	prior	likelihood	country.clock.rate	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefficients6	country.coefficients7	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.coefIndicators6	country.coefIndicators7	country.includedPredictors	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.coefficientsTimesIndicators6	country.coefficientsTimesIndicators7	country.branchRates	c_allTransitions[1]
3560000	-1531.4663862816453	-88.2726478642344	-1443.193738417411	0.046165031332630634	0.8296791329057687	0.10163199437419679	-0.5496070018682422	-1.5222461285533453	-0.22481361282535417	0.9808053469547133	0.6600123131474931	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.8296791329057687	0.0	-0.5496070018682422	-0.0	-0.0	0.9808053469547133	0.6600123131474931	0.0	323.0
3570000	-1522.8378051756024	-87.36402691863373	-1435.4737782569687	0.04549541225353021	0.6785823345434469	0.3360194522382013	-0.1855972690116169	1.2273181883167432	-2.2677607455884905	1.1954612452320033	0.883306799314615	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.6785823345434469	0.0	-0.1855972690116169	0.0	-0.0	1.1954612452320033	0.883306799314615	0.0	313.0
3580000	-1533.0222910386606	-93.2794048969981	-1439.7428861416624	0.04838693863437178	0.7345740636728374	1.416398343440708	-0.24484251344081584	4.8288938209436685	-1.8947275558201628	1.1098310824782702	0.783515249990887	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.7345740636728374	0.0	-0.24484251344081584	0.0	-0.0	1.1098310824782702	0.783515249990887	0.0	329.0
3590000	-1528.2455307373912	-91.5469591025978	-1436.6985716347933	0.04768700790910945	0.8698822445595802	0.9026609216413545	-0.2534984019947476	-1.2205172799495174	2.447157990629592	1.2651944104700616	0.9621381964140258	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.8698822445595802	0.0	-0.2534984019947476	-0.0	0.0	1.2651944104700616	0.9621381964140258	0.0	332.0
3600000	-1534.4024673231688	-92.52083189820148	-1441.8816354249673	0.04906269329618543	0.7601525887370753	-1.1828424379396874	-0.29222487815085435	-0.7487165942478702	-0.6867854031286879	1.2360057298651634	0.8467243943422024	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.7601525887370753	-0.0	-0.29222487815085435	-0.0	-0.0	1.2360057298651634	0.8467243943422024	0.0	331.0
3610000	-1540.7374387842656	-79.18938618445644	-1461.5480525998091	0.038617766522089224	0.7454968724811125	-0.3359152864094851	-0.27599404654540377	-3.4721783632149106	1.9856352874612737	1.3260394086056246	0.8491760844901717	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.7454968724811125	-0.0	-0.27599404654540377	-0.0	0.0	1.3260394086056246	0.8491760844901717	0.0	334.0
3620000	-1532.3102688862064	-97.93082059094559	-1434.3794482952608	0.050501220537002595	0.8029843598472298	0.8983076846011918	-0.4151269236552952	2.891119272943332	0.0905258482844858	1.0691261270457109	0.9669074525679289	1.0	0.0	1.0	0.0	1.0	1.0	1.0	5.0	0.8029843598472298	0.0	-0.4151269236552952	0.0	0.0905258482844858	1.0691261270457109	0.9669074525679289	0.0	338.0
3630000	-1529.9422008121862	-90.96554388596353	-1438.9766569262226	0.0480930540262467	0.5890704511620973	1.0989050595254808	-0.351500862922597	1.1809771681852426	0.8662535412891206	1.0651215161331902	0.7558681279821788	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.5890704511620973	0.0	-0.351500862922597	0.0	0.0	1.0651215161331902	0.7558681279821788	0.0	328.0
3640000	-1530.106613710512	-93.22024898689808	-1436.886364723614	0.04922758615411326	0.49390415071178806	2.8098491657628886	-0.2207286212907611	-0.3642613507281351	-0.08249798087415372	1.2370362231855578	0.8330494413348362	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.49390415071178806	0.0	-0.2207286212907611	-0.0	-0.0	1.2370362231855578	0.8330494413348362	0.0	320.0
3650000	-1536.0549521879468	-80.82445434372444	-1455.2304978442223	0.03981157452795876	0.7260125440099718	3.525310522923597	-0.3394769228170429	-1.4248147092246268	-2.2373787670349117	1.3225438651714674	0.8744190943762183	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.7260125440099718	0.0	-0.3394769228170429	-0.0	-0.0	1.3225438651714674	0.8744190943762183	0.0	330.0
3660000	-1531.1037923576	-94.06609960481896	-1437.0376927527811	0.04805421842076112	0.7178568926494813	-1.2933863432530632	-0.34954349789598976	-0.9573517429031956	2.2344828535602543	1.0846463019346317	0.8585043990124321	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.7178568926494813	-0.0	-0.34954349789598976	-0.0	0.0	1.0846463019346317	0.8585043990124321	0.0	322.0
3670000	-1531.3323002206462	-94.53135149464406	-1436.8009487260022	0.047462038174673336	0.849816508640947	-0.21754532460848064	-0.47866919730941254	0.18629904846244338	-0.035723662447622484	1.264163522708052	0.8392337737233948	1.0	1.0	1.0	0.0	0.0	1.0	1.0	5.0	0.849816508640947	-0.21754532460848064	-0.47866919730941254	0.0	-0.0	1.264163522708052	0.8392337737233948	0.0	331.0
3680000	-1538.5764865257404	-84.47998761354408	-1454.0964989121962	0.0430354511532402	0.7261264750885357	-0.8767703714897286	-0.2954007544738396	-0.09950472862029815	3.8200109316020976	1.322645898705943	0.7222278066199748	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.7261264750885357	-0.0	-0.2954007544738396	-0.0	0.0	1.322645898705943	0.7222278066199748	0.0	329.0
3690000	-1527.7430603187368	-90.65904308957818	-1437.0840172291585	0.047367964489159226	0.6050892158030611	2.8150358345867312	-0.3627116669339589	0.008712735431243956	0.9878107522350236	1.1651621025619014	0.9184320594828016	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.6050892158030611	0.0	-0.3627116669339589	0.0	0.0	1.1651621025619014	0.9184320594828016	0.0	335.0
