state	Tree Length	tMRCA	External/Internal ratio	FuLiD
0	1016.4974692336128	9.904054058316266	4.432888033627414	-18.942800191163087
1	1079.4668345734126	10.328503876418981	1.511788265512738	-12.921092567972611
2	1053.3013260961152	9.675643556164744	1.4344299894260641	-12.54758063902871
3	1053.6924179997586	9.658157321951457	1.4806867810077715	-12.76496922591183
4	1087.8952364363392	11.38657828123501	1.4711726756123957	-12.739929306767989
5	996.9286859543971	13.893647742568287	1.6224822214921109	-13.347034812840938
6	1089.8766844549518	10.728078104110299	1.497747341989247	-12.863255313854902
7	1046.588720081424	10.821875470846281	1.585751244860156	-13.22511770574549
8	1066.6852435293858	11.216204530727687	1.553336460514025	-13.09771381031975
9	977.5122356659568	9.948595686445312	1.5128215597847132	-12.863789499276873
10	1026.2237550900138	10.65027050367876	1.351241838260918	-12.12040602986603
11	1024.4008881136313	10.160136360834754	1.436917776747992	-12.542734878413016
12	1110.2199953454704	31.44316941639537	1.2473853213359019	-11.60648732222825
13	1044.015668258453	12.021685312567465	1.3712866904761012	-12.232314062540416
14	1042.159016689199	10.430951414318054	1.6035088981371177	-13.297191262915463
15	1059.1226312991041	9.80648941497477	1.5551297203663466	-13.101135357563466
16	1033.4365370626676	9.650681527648441	1.3914739358261423	-12.327180537579718
17	1101.3326587991437	10.200557275699968	1.3836816375832368	-12.325098311885053
18	1089.099249171007	10.39669797693116	1.572130022429416	-13.19160184327955
19	1087.7229688733848	9.666050979615795	1.6234952486249659	-13.406972854117253
20	1026.2661572994607	10.132748574621989	1.4036390836002384	-12.382963000060734
21	1078.9006575501035	11.47750366190921	1.6966112361474304	-13.69528524953127
22	1048.8483564174808	9.975505667542611	1.4205424764631416	-12.478255226692037
23	985.0461166465927	10.127156952586962	1.5163364750561803	-12.884481895576858
24	1048.526537877446	11.755134976674945	1.4998763143279725	-12.849707709818631
25	992.1572735561582	11.335255788868121	1.4252207199858407	-12.467049045541973
26	1126.736160556524	11.490100788613097	1.589861663590961	-13.287581224973096
27	1132.7499618554396	19.03331364739735	1.263018180717335	-11.70435497688039
28	1043.858296597639	9.826074584705761	1.4989045345018464	-12.842569275989243
29	1085.7473223401512	9.991000616275945	1.563092163669083	-13.15080950111119
30	1107.3414117568761	23.44958461367058	1.4631408689736722	-12.712725917535614
31	1037.7745181201049	10.467638069127586	1.265250233567246	-11.669525255616866
32	1053.0619065922626	9.631381383433968	1.3494491973119764	-12.126200370971205
33	1037.8356049136437	10.290855225352626	1.7419135535825772	-13.843850885902647
34	1025.878157182204	10.924350222585904	1.5806879911611007	-13.19094205901932
35	1022.0980995592467	10.203757000483577	1.3576514014830532	-12.150770865049175
36	1056.0186659333306	9.920540684766326	1.3891915899999616	-12.328565483545296
37	1076.4055681820778	10.571654894918979	1.4052745137396705	-12.419032896695237
38	1086.4093084159808	11.126769670421451	1.4736941615059722	-12.750840178559217
39	1141.5165049734435	19.24523096895911	1.4176055425776801	-12.512377614698664
40	1030.6622538834542	9.810287125770103	1.486362935928027	-12.777560919303859
41	1031.4154212315539	11.215545202126076	1.4494600735514305	-12.606389747381254
42	986.8149792078568	9.852282229848674	1.3921118743067369	-12.302387007323958
43	1030.1101181975034	14.819628449602178	1.4771149870501086	-12.7347043592629
44	1013.308551033201	10.398040575439127	1.4639367072678777	-12.663418499293291
