state	Tree Length	tMRCA	External/Internal ratio	FuLiD
0	1322.2625626514375	11.616939147920343	3.627991870925747	-17.89501251471311
1	1326.6606825934657	11.48004898898473	3.6294516872333005	-17.89914393802084
2	1320.2679980691055	11.46961270598197	3.6481652303878276	-17.920380903880258
3	1332.2359653298172	11.72682376322851	3.607761655970773	-17.873322061075896
4	1340.5041252063957	11.341314808310969	3.7489303119208914	-18.058971138328065
5	1336.219994235876	11.31474000711586	3.6019117931601987	-17.86753441912219
6	1335.8892847690563	11.33782087139047	3.648193340521801	-17.92825472804247
7	1322.1697279527925	11.552882904366335	3.5740985143266495	-17.823353433082445
8	1321.1603515571007	11.898341700937959	3.5322947208281685	-17.766126071921875
9	1330.0711538793953	11.34325704215346	3.5751143608394016	-17.828672556043188
10	1332.1434905343551	11.793631873894034	3.6147555276862358	-17.882530514699702
11	1330.1062499381553	11.752642798537764	3.6260412906167176	-17.89638906945826
12	1323.89148605284	12.032399664703505	3.5897758397418795	-17.84522481229443
13	1327.4429802637942	11.504445280808643	3.6664649535902645	-17.947737221071094
14	1322.7324152232093	11.372069194320165	3.5841220870981902	-17.837083198662338
15	1334.3859166789794	11.67972253674454	3.5982721165625677	-17.86178695221355
16	1333.687342570708	11.561090189514854	3.6670528433669602	-17.951622575919547
17	1339.093575184721	11.466024674732324	3.7135955097343105	-18.01384699952851
18	1332.8533993076642	11.464843681979481	3.5713427257857204	-17.82498003327412
19	1344.3134663689375	11.472103702366311	3.750125004805892	-18.062347934390562
20	1332.9879288712182	11.649789815768884	3.6519003218355306	-17.931636007484737
21	1337.756452362819	11.381506383007522	3.735531899335244	-18.040838430719877
22	1333.5346008476736	11.517900708173745	3.6682730758699047	-17.953122353738657
23	1318.5584091045132	11.358453140449338	3.6072741926783105	-17.865808401606316
24	1322.1010581742935	11.514311071750148	3.59642003464365	-17.853182847102005
25	1323.4968338137867	11.498961696627067	3.668694899037393	-17.948626730362623
26	1340.4315116348669	11.374195443110406	3.7314359939577653	-18.037023238015777
27	1317.2282698741274	11.41679394829819	3.6424047683963883	-17.91132752201615
