# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 30 15:18:38 CET 2022 [seed=1669817914814]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.A.1213.country.cont0.dump.txt RSV.A.1213.country.xml
state	joint	prior	likelihood	country.clock.rate	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.includedPredictors	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.branchRates	c_allTransitions[1]
100000	-1614.0440514753154	-144.8010800248539	-1469.2429714504615	0.08564521102127767	1.5669036461960761	0.2858286218790261	-0.6025906626444838	0.33900725066097237	0.2378250542365319	1.0	0.0	1.0	1.0	1.0	4.0	1.5669036461960761	0.0	-0.6025906626444838	0.33900725066097237	0.2378250542365319	0.0	332.0
110000	-1605.1858272133368	-139.25858448019682	-1465.92724273314	0.08212338844998318	1.7236297439795076	-1.4338163811740032	-0.6417538213451021	0.36409995713639903	0.28455123959807344	1.0	0.0	1.0	1.0	1.0	4.0	1.7236297439795076	-0.0	-0.6417538213451021	0.36409995713639903	0.28455123959807344	0.0	336.0
120000	-1612.5546504919002	-122.97677562383801	-1489.5778748680623	0.07302432305131477	1.8186029804793968	1.9636966627393861	-0.6405375460314907	0.6253687837850868	0.20300837885825407	1.0	0.0	1.0	1.0	1.0	4.0	1.8186029804793968	0.0	-0.6405375460314907	0.6253687837850868	0.20300837885825407	0.0	327.0
130000	-1613.2628524715471	-130.5801213475119	-1482.6827311240352	0.07624937380364	1.504187696107573	-0.43705519623488603	-0.6931165496193729	0.4891050240940495	-1.0331032078532556	1.0	0.0	1.0	1.0	0.0	3.0	1.504187696107573	-0.0	-0.6931165496193729	0.4891050240940495	-0.0	0.0	318.0
140000	-1612.0583573346744	-129.89568260239716	-1482.1626747322773	0.07829430773733403	1.6633312137036964	1.4559537718870512	-0.5649650534047349	0.6534142371421684	-0.08760969551856823	1.0	0.0	1.0	1.0	0.0	3.0	1.6633312137036964	0.0	-0.5649650534047349	0.6534142371421684	-0.0	0.0	313.0
150000	-1608.1278916171661	-123.8863911790979	-1484.2415004380682	0.07266387605050564	1.7252205587453264	0.9595165601117996	-0.578875195134881	0.5833234769887513	-1.468665447013033	1.0	0.0	1.0	1.0	0.0	3.0	1.7252205587453264	0.0	-0.578875195134881	0.5833234769887513	-0.0	0.0	319.0
160000	-1604.8090559553773	-133.89222836787457	-1470.9168275875027	0.07700539035343174	1.6351204409600328	-1.9962997328664382	-0.6796294989706395	0.4106206095663092	-3.3615495676825984	1.0	0.0	1.0	1.0	0.0	3.0	1.6351204409600328	-0.0	-0.6796294989706395	0.4106206095663092	-0.0	0.0	339.0
170000	-1607.3831496875491	-127.4955795970786	-1479.8875700904705	0.07724731606547214	1.7324272493662636	-0.13083721009898636	-0.644971997792702	0.5579275968362115	-1.598835243420725	1.0	0.0	1.0	1.0	0.0	3.0	1.7324272493662636	-0.0	-0.644971997792702	0.5579275968362115	-0.0	0.0	332.0
180000	-1618.8409352733458	-126.10966943248862	-1492.7312658408573	0.07450621899517905	1.4900795431905594	0.1105733298770129	-0.7857200847310837	0.4219870745470836	-0.09935487970122951	1.0	1.0	1.0	1.0	0.0	4.0	1.4900795431905594	0.1105733298770129	-0.7857200847310837	0.4219870745470836	-0.0	0.0	317.0
190000	-1611.1719513807793	-111.93874545987101	-1499.2332059209084	0.06603238667956304	1.77152591709282	-2.0730747505324296	-0.7556339193054922	0.5108527704768442	-1.342959001824651	1.0	0.0	1.0	1.0	0.0	3.0	1.77152591709282	-0.0	-0.7556339193054922	0.5108527704768442	-0.0	0.0	319.0
200000	-1609.2075689678934	-112.52773080348257	-1496.6798381644107	0.06494106490710208	1.826354243746471	0.7512974143855917	-0.6413383757648986	0.6189806451257319	0.18952869898419183	1.0	0.0	1.0	1.0	1.0	4.0	1.826354243746471	0.0	-0.6413383757648986	0.6189806451257319	0.18952869898419183	0.0	330.0
210000	-1616.834462332632	-122.59520861384362	-1494.2392537187884	0.07066348645192075	1.594009481656243	4.3275573573295025	-0.6009421087171615	0.5458892451630778	-0.9800232410161114	1.0	0.0	1.0	1.0	0.0	3.0	1.594009481656243	0.0	-0.6009421087171615	0.5458892451630778	-0.0	0.0	330.0
220000	-1610.1630121559222	-141.14505684252663	-1469.0179553133955	0.08111705411573938	1.5569747039322943	4.561002809206747	-0.5565769559381982	0.343030838780087	-3.8604360842521603	1.0	0.0	1.0	1.0	0.0	3.0	1.5569747039322943	0.0	-0.5565769559381982	0.343030838780087	-0.0	0.0	335.0
230000	-1610.7219781233755	-129.91370568446882	-1480.8082724389067	0.07629876417336283	1.5825894280125496	1.062411568828837	-0.6160343196910876	0.43001217335187125	-0.9759311248639854	1.0	0.0	1.0	1.0	0.0	3.0	1.5825894280125496	0.0	-0.6160343196910876	0.43001217335187125	-0.0	0.0	333.0
240000	-1613.8804106577236	-121.8313064904522	-1492.0491041672715	0.07256875319427393	1.9861665770571628	1.2281837622432878	-0.9375299473126363	0.5365506585362548	-0.3622989405293855	1.0	0.0	1.0	1.0	0.0	3.0	1.9861665770571628	0.0	-0.9375299473126363	0.5365506585362548	-0.0	0.0	338.0
250000	-1608.8486680235876	-128.41230182822605	-1480.4363661953616	0.07590866818348281	1.62712168599984	0.5961319391013787	-0.6312114807568627	0.5441582446951665	0.8709470696550521	1.0	0.0	1.0	1.0	0.0	3.0	1.62712168599984	0.0	-0.6312114807568627	0.5441582446951665	0.0	0.0	333.0
260000	-1609.7664931521388	-128.38832955549137	-1481.3781635966475	0.07296665729599038	1.7267296480897711	-0.1086978844013876	-0.5799413343294894	0.3982610301953444	0.19697636154613457	1.0	0.0	1.0	1.0	1.0	4.0	1.7267296480897711	-0.0	-0.5799413343294894	0.3982610301953444	0.19697636154613457	0.0	338.0
270000	-1615.2473942876366	-125.72386097363538	-1489.5235333140013	0.07241923392281173	1.630133393282116	-2.4202455298655323	-0.627413469483327	0.438124944976094	0.906158765737093	1.0	0.0	1.0	1.0	0.0	3.0	1.630133393282116	-0.0	-0.627413469483327	0.438124944976094	0.0	0.0	333.0
280000	-1616.1210987345426	-127.54800371229169	-1488.5730950222508	0.07898321562507243	1.4942739609519042	-1.2461229764358968	-0.5729270425657979	0.36746363628876755	-0.8525238816557875	1.0	0.0	1.0	1.0	0.0	3.0	1.4942739609519042	-0.0	-0.5729270425657979	0.36746363628876755	-0.0	0.0	339.0
290000	-1598.7043924585337	-124.39255162044927	-1474.3118408380844	0.07380107819519494	1.6765780414005245	-0.38641610705205065	-0.73468115885917	0.5029032015728707	-0.23644518757629032	1.0	0.0	1.0	1.0	0.0	3.0	1.6765780414005245	-0.0	-0.73468115885917	0.5029032015728707	-0.0	0.0	320.0
