,Africa,Asia,Europe,NorthAmerica,Oceania,SouthAmerica
Africa,16702068,649618,2017393,518435,213291,115777
Asia,650452,1005645329,21343215,22332432,6643067,501479
Europe,2016802,20986801,379789092,31869221,2542899,3715077
NorthAmerica,504828,21897200,31782121,736572362,2580551,5751006
Oceania,206520,6583509,2633270,2587355,75193976,168092
SouthAmerica,117558,530363,3878294,5840536,167378,101380162
