;Argentina;Australia;Brazil;Canada;China;Finland;France;Germany;India;Italy;Japan;Jordan;Kenya;Lebanon;Mexico;Netherlands;NewZealand;Nicaragua;Peru;Philippines;Russia;SouthAfrica;SouthKorea;Spain;Taiwan;Thailand;UnitedKingdom;USA
Argentina;0;12704,7884010601;2924,24586682117;11259,0368177954;18898,9678534427;13673,3417046509;11464,8830916145;12279,9038069199;15926,6521822433;11785,1945725521;18070,010121675;12850,7776529903;11007,168695577;13004,9699144211;8004,60307726626;12065,6252967023;9385,84058330692;6128,74563934645;3443,61772484294;17126,0483262793;17335,1166175078;7685,35802465219;18969,2800717536;10671,2987281267;18322,0607590877;17091,4891080335;11881,8670420948;9017,68118619265
Australia;12704,7884010601;0;15578,6136206001;14151,6199649539;7474,35442190962;13405,4838970223;15159,1135791156;14466,229275416;7813,4557095465;14381,5566765663;6852,31567376301;12078,3738188581;10596,3571690728;12226,1058878476;14353,631650689;14793,0523509164;4157,61464841735;15710,9971321077;15074,9517699365;4437,47463228654;9983,60183922694;10389,4741726879;6832,3640055077;15753,6175673248;5617,6300328778;5791,35736546046;15206,0386814174;15184,4832993731
Brazil;2924,24586682117;15578,6136206001;0;9304,53179808967;16632,853841832;10771,1791483358;8625,29474713015;9431,64711776522;14775,3062460124;9069,62697342672;17370,4297183737;10635,3338119117;9988,73526827014;10683,5829299517;6928,28621866964;9189,52937661452;12220,5879696782;4745,18088783718;2574,25385791515;19317,5659070313;14451,5122329527;7777,13645585224;17604,9911901632;7850,17856196586;18724,7244210948;17103,3162021619;8966,7688378043;7316,91876875387
Canada;11259,0368177954;14151,6199649539;9304,53179808967;0;9385,85844301552;6245,50150195755;6840,79693480439;6750,71870808956;11469,1124528819;7705,2534596627;8082,7121536063;9743,60970480112;13000,2433510207;9389,77106113712;3626,62289250543;6453,74076081751;13064,2472737817;5141,73611569822;7815,50195534521;11145,039936812;6644,47903520123;15184,0011832526;8578,93448550568;7059,69060246061;10085,9981397657;11611,6676816756;5807,42907440754;2261,53556951288
China;18898,9678534427;7474,35442190962;16632,853841832;9385,85844301552;0;5961,14537457977;8021,99426949904;7223,88789256162;2983,79528357112;7566,26244329392;3046,75800155568;6221,30478986654;7894,28163025992;6105,82835465283;12826,3462893859;7486,398810924;11167,181877164;14507,448532255;17048,2521893235;3102,74651299438;2854,61549191058;11237,0448497947;2118,36369651213;8788,26640993148;2103,13586540743;2245,54884650211;7779,56012981729;11647,2638481709
Finland;13673,3417046509;13405,4838970223;10771,1791483358;6245,50150195755;5961,14537457977;0;2298,44834436252;1512,07269166285;6111,13200154719;2395,36932560688;7553,00364838141;3566,81897414568;6964,2339864749;3202,441231627;9455,80825038289;1635,91163999045;16903,1905128497;9801,30842567904;11470,9241968938;9057,86578512606;3924,49462507465;10286,8151795247;7118,47220515073;3095,6483221044;7962,78240068695;7684,65473310375;1818,57568628317;7823,29793037071
France;11464,8830916145;15159,1135791156;8625,29474713015;6840,79693480439;8021,99426949904;2298,44834436252;0;815,828970128517;7368,90118144203;957,658368388614;9850,10389293412;3399,29477185927;6208,77272982791;3146,28457426828;9190,11666871786;693,498345823305;19179,441076866;8782,3152696227;9780,44254888213;11107,1764299305;6221,12754020394;8789,48065983061;9384,17931138249;801,542495237498;10099,5288377844;9395,60111586254;1091,31611890044;7665,58407763426
Germany;12279,9038069199;14466,229275416;9431,64711776522;6750,71870808956;7223,88789256162;1512,07269166285;815,828970128517;0;6752,18756125651;1045,90218927912;9048,4131956719;3120,58234123422;6250,44914917219;2809,63713011022;9447,55984569867;371,812144526768;18364,0979476588;9285,01444972775;10488,8846670272;10317,5631599264;5420,68586143484;9169,569234681;8569,68715014173;1615,38032915737;9293,10985372692;8677,07887072516;1032,98476731386;7861,47022497401
India;15926,6521822433;7813,4557095465;14775,3062460124;11469,1124528819;2983,79528357112;6111,13200154719;7368,90118144203;6752,18756125651;0;6569,0337273244;5959,3041724404;4398,67430067528;5016,16688744917;4472,34899235531;15094,3970993698;7110,44625453955;11970,8875173017;15911,8390779751;16951,2911984603;4625,24745565957;4985,66717781274;8255,03041521304;5016,71099342567;7941,64928640835;4323,9997886609;2382,92277707456;7662,64939488015;13576,6693091459
Italy;11785,1945725521;14381,5566765663;9069,62697342672;7705,2534596627;7566,26244329392;2395,36932560688;957,658368388614;1045,90218927912;6569,0337273244;0;9728,69650019754;2454,05649180647;5306,47879568591;2221,59469612358;10147,7745057072;1265,83086001694;18538,6676010145;9686,20517853103;10489,6145962175;10581,8565147163;6146,02847510231;8123,88048859092;9146,99463739353;1372,63500077473;9668,97937640986;8710,3325087836;1898,04934882907;8619,05498210072
