location	nTaxa
Argentina	8
Australia	134
Brazil	38
Canada	94
China	5
Finland	53
France	34
Germany	35
India	1
Italy	9
Japan	46
Jordan	3
Kenya	152
Lebanon	2
Mexico	1
Netherlands	53
NewZealand	28
Nicaragua	11
Peru	2
Philippines	7
Russia	27
SouthAfrica	112
SouthKorea	10
Spain	34
Taiwan	10
Thailand	10
UnitedKingdom	16
USA	278
