# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Dec 01 10:35:30 CET 2022 [seed=1669887324584]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.AB.country.cont0.dump.txt RSV.AB.country.xml
state	joint	prior	likelihood	country.clock.rate.A	country.clock.rate.B	country.coefficients.early1	country.coefficients.early2	country.coefficients.early3	country.coefficients.early4	country.coefficients.early5	country.coefIndicators.early1	country.coefIndicators.early2	country.coefIndicators.early3	country.coefIndicators.early4	country.coefIndicators.early5	country.includedPredictors.early	country.coefficientsTimesIndicators.early1	country.coefficientsTimesIndicators.early2	country.coefficientsTimesIndicators.early3	country.coefficientsTimesIndicators.early4	country.coefficientsTimesIndicators.early5	country.coefficients.recent1	country.coefficients.recent2	country.coefficients.recent3	country.coefficients.recent4	country.coefficients.recent5	country.coefIndicators.recent1	country.coefIndicators.recent2	country.coefIndicators.recent3	country.coefIndicators.recent4	country.coefIndicators.recent5	country.includedPredictors.recent	country.coefficientsTimesIndicators.recent1	country.coefficientsTimesIndicators.recent2	country.coefficientsTimesIndicators.recent3	country.coefficientsTimesIndicators.recent4	country.coefficientsTimesIndicators.recent5	country.branchRates.A	country.branchRates.B	country.treeLikelihood.A	country.treeLikelihood.B
0	-6257.494158970749	-2641.6238344202143	-3615.870324550535	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1829.1464591204574	-1786.7238654300775
10000	-3461.9650149430586	-311.28377793212667	-3150.681237010932	0.07488134094901885	0.1556958406433563	1.2912887921116307	1.5526264547641457	-0.5771518851149281	2.2951702821607407	1.9877606742399991	1.0	0.0	1.0	0.0	1.0	3.0	1.2912887921116307	0.0	-0.5771518851149281	0.0	1.9877606742399991	1.3676722243841406	-1.540236427457275	-0.544573053971792	0.6535593623089341	1.0970781026353835	1.0	1.0	1.0	1.0	0.0	4.0	1.3676722243841406	-1.540236427457275	-0.544573053971792	0.6535593623089341	0.0	0.0	0.0	-1453.29248227395	-1697.388754736982
20000	-3469.9944011189805	-297.76034935714733	-3172.234051761833	0.0694280975700275	0.15839874234147322	1.5237521273732342	1.8965621590453414	-0.771531642214563	-0.421203619432412	1.8937535552193272	1.0	0.0	1.0	0.0	1.0	3.0	1.5237521273732342	0.0	-0.771531642214563	-0.0	1.8937535552193272	1.4257516325653008	-1.5345081905557996	-0.5428838858674053	0.567242492358937	-1.5574803738109002	1.0	1.0	1.0	1.0	0.0	4.0	1.4257516325653008	-1.5345081905557996	-0.5428838858674053	0.567242492358937	-0.0	0.0	0.0	-1467.2005605773031	-1705.0334911845298
30000	-3462.443719616701	-313.33624338775275	-3149.107476228948	0.07838103524247328	0.1565356692332642	1.4767266827176055	0.3287158722525855	-0.693179477444244	-1.2515482351792093	1.6857652087136665	1.0	0.0	1.0	0.0	1.0	3.0	1.4767266827176055	0.0	-0.693179477444244	-0.0	1.6857652087136665	1.4275519563173598	-1.596210215936004	-0.6442918706647452	0.7776541337671594	-2.7093203658547704	1.0	1.0	1.0	1.0	0.0	4.0	1.4275519563173598	-1.596210215936004	-0.6442918706647452	0.7776541337671594	-0.0	0.0	0.0	-1444.6027609741	-1704.5047152548482
40000	-3441.9914670610233	-311.98470770113653	-3130.006759359887	0.07976068959468754	0.154976087903255	1.3260853230676788	-0.04946250665709804	-0.6453709221883646	0.7241098399204308	1.2528364350816095	1.0	0.0	1.0	1.0	1.0	4.0	1.3260853230676788	-0.0	-0.6453709221883646	0.7241098399204308	1.2528364350816095	1.3308705668834155	-1.6823466234004982	-0.48885315243091454	0.5849787110042372	-1.7366195798641035	1.0	1.0	1.0	1.0	0.0	4.0	1.3308705668834155	-1.6823466234004982	-0.48885315243091454	0.5849787110042372	-0.0	0.0	0.0	-1426.8712564778332	-1703.1355028820537
50000	-3464.1984008581503	-311.9974177740606	-3152.20098308409	0.07747189062056703	0.15544430888417188	1.4702478168565247	-1.5225673067431105	-0.6286285515622774	0.6920235465044492	1.1596043656074717	1.0	0.0	1.0	1.0	1.0	4.0	1.4702478168565247	-0.0	-0.6286285515622774	0.6920235465044492	1.1596043656074717	1.3438529711904323	-1.665339948799575	-0.5036292114037894	0.44745604708918935	-1.6875233628393216	1.0	1.0	1.0	1.0	0.0	4.0	1.3438529711904323	-1.665339948799575	-0.5036292114037894	0.44745604708918935	-0.0	0.0	0.0	-1436.772702852699	-1715.4282802313908
60000	-3478.8958335955263	-272.8728400818818	-3206.0229935136445	0.06781342876757208	0.13320793919812074	1.7285649705270014	1.9625438182421235	-0.829820533054151	0.5065304217449853	1.9733672847222528	1.0	0.0	1.0	0.0	1.0	3.0	1.7285649705270014	0.0	-0.829820533054151	0.0	1.9733672847222528	1.180620159483249	-1.8613840981520293	-0.5539062053257212	0.5580699972793002	0.037587830910991604	1.0	1.0	1.0	1.0	0.0	4.0	1.180620159483249	-1.8613840981520293	-0.5539062053257212	0.5580699972793002	0.0	0.0	0.0	-1469.712314627246	-1736.3106788863984
70000	-3472.625189442115	-321.1636034369991	-3151.461586005116	0.07282557263086838	0.16892008484901655	1.3092732477908153	-0.406268973747839	-0.7926310184784368	0.43032478913872885	1.3653442007798144	1.0	0.0	1.0	1.0	1.0	4.0	1.3092732477908153	-0.0	-0.7926310184784368	0.43032478913872885	1.3653442007798144	1.419620028198469	-1.7821947682390697	-0.6312446544588853	0.6505987651979771	-3.1220808477812123	1.0	1.0	1.0	1.0	0.0	4.0	1.419620028198469	-1.7821947682390697	-0.6312446544588853	0.6505987651979771	-0.0	0.0	0.0	-1445.3256589740752	-1706.1359270310406
80000	-3485.455627841846	-284.6986926241742	-3200.7569352176715	0.07489107103792453	0.1371639931144721	1.1455083868297224	0.7622090541168297	-0.6468260455644407	1.9440218092116561	1.5537462877751342	1.0	0.0	1.0	0.0	1.0	3.0	1.1455083868297224	0.0	-0.6468260455644407	0.0	1.5537462877751342	1.3018168392470726	-1.5876268015743826	-0.5887624497916961	0.6239062909816258	1.2786890985551718	1.0	1.0	1.0	1.0	0.0	4.0	1.3018168392470726	-1.5876268015743826	-0.5887624497916961	0.6239062909816258	0.0	0.0	0.0	-1462.3967408562742	-1738.3601943613971
90000	-3483.2978532402476	-288.20894912993606	-3195.0889041103114	0.06402340776189482	0.15478990633230363	1.2023155915061896	0.819914079003602	-0.7049158164072943	0.4910439524574798	1.0229641249971773	1.0	0.0	1.0	1.0	1.0	4.0	1.2023155915061896	0.0	-0.7049158164072943	0.4910439524574798	1.0229641249971773	1.4393399922739472	-1.64339189703895	-0.6025503188721908	0.7736281196770122	2.0544017979663005	1.0	1.0	1.0	1.0	0.0	4.0	1.4393399922739472	-1.64339189703895	-0.6025503188721908	0.7736281196770122	0.0	0.0	0.0	-1477.9576892962407	-1717.1312148140707
