# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 30 15:20:57 CET 2022 [seed=1669818054187]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.A.1213.country.cont0.dump.txt RSV.A.1213.country.xml
state	joint	prior	likelihood	country.clock.rate	country.coefficients.early1	country.coefficients.early2	country.coefficients.early3	country.coefficients.early4	country.coefficients.early5	country.coefIndicators.early1	country.coefIndicators.early2	country.coefIndicators.early3	country.coefIndicators.early4	country.coefIndicators.early5	country.includedPredictors.early	country.coefficientsTimesIndicators.early1	country.coefficientsTimesIndicators.early2	country.coefficientsTimesIndicators.early3	country.coefficientsTimesIndicators.early4	country.coefficientsTimesIndicators.early5	country.coefficients.recent1	country.coefficients.recent2	country.coefficients.recent3	country.coefficients.recent4	country.coefficients.recent5	country.coefIndicators.recent1	country.coefIndicators.recent2	country.coefIndicators.recent3	country.coefIndicators.recent4	country.coefIndicators.recent5	country.includedPredictors.recent	country.coefficientsTimesIndicators.recent1	country.coefficientsTimesIndicators.recent2	country.coefficientsTimesIndicators.recent3	country.coefficientsTimesIndicators.recent4	country.coefficientsTimesIndicators.recent5	country.branchRates
0	-1723.968622463749	-191.60628418373983	-1532.362338280009	0.1	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
10000	-1586.9581596982164	-159.37292664195706	-1427.5852330562593	0.08318735472650292	1.0754373162994388	-1.3787225634100269	-0.7486359105982017	4.425776437930536	0.7512471809783181	1.0	0.0	1.0	1.0	0.0	3.0	1.0754373162994388	-0.0	-0.7486359105982017	4.425776437930536	0.0	1.8992988499650245	-1.5069406107755514	-0.7827208302042379	0.35033066771882243	-3.083931432898493	1.0	0.0	1.0	1.0	0.0	3.0	1.8992988499650245	-0.0	-0.7827208302042379	0.35033066771882243	-0.0	0.0
20000	-1584.414464659827	-157.98333126111513	-1426.4311333987118	0.08031164404236396	1.0444387567281759	0.4246964812512344	-0.668521949580102	4.742816692863274	-1.779185225138127	1.0	1.0	1.0	1.0	0.0	4.0	1.0444387567281759	0.4246964812512344	-0.668521949580102	4.742816692863274	-0.0	2.2291129135363863	-1.4361761475658739	-0.7734451697812111	0.5733199423848204	-2.245067925730288	1.0	0.0	1.0	1.0	0.0	3.0	2.2291129135363863	-0.0	-0.7734451697812111	0.5733199423848204	-0.0	0.0
30000	-1576.886976513875	-151.5235837219261	-1425.3633927919489	0.07950411944492006	1.4374469974011217	-2.558353065792287	-0.7869443878368333	4.779054873934568	1.5759094539367813	1.0	0.0	1.0	1.0	0.0	3.0	1.4374469974011217	-0.0	-0.7869443878368333	4.779054873934568	0.0	2.0870985829960165	-0.9458898902527961	-0.7247094029654929	0.356053792447044	0.6703900518432061	1.0	0.0	1.0	1.0	0.0	3.0	2.0870985829960165	-0.0	-0.7247094029654929	0.356053792447044	0.0	0.0
40000	-1588.0125862760224	-143.5580453019926	-1444.45454097403	0.07282724053255418	0.890842303032107	0.6333507376531314	-0.521615701102406	4.861115761598686	-3.484495619783718	1.0	1.0	1.0	1.0	0.0	4.0	0.890842303032107	0.6333507376531314	-0.521615701102406	4.861115761598686	-0.0	2.0481115576925726	0.1422614885904213	-0.7464507696570198	0.7386288580235812	-1.408346275460643	1.0	0.0	1.0	1.0	0.0	3.0	2.0481115576925726	0.0	-0.7464507696570198	0.7386288580235812	-0.0	0.0
50000	-1586.390449715224	-151.22945676229455	-1435.1609929529293	0.07483436893437208	0.8411745880997916	0.752101865556557	-0.6288309471957912	5.273019290317737	-5.794820815312658	1.0	1.0	1.0	1.0	0.0	4.0	0.8411745880997916	0.752101865556557	-0.6288309471957912	5.273019290317737	-0.0	2.146160670609782	0.47647670796965513	-0.8246605963737437	0.49239590895897056	0.08045930159461046	1.0	0.0	1.0	1.0	0.0	3.0	2.146160670609782	0.0	-0.8246605963737437	0.49239590895897056	0.0	0.0
60000	-1597.6006215199898	-147.71190741798446	-1449.8887141020052	0.07551695758110337	1.6731802374937477	-0.2586916185195456	-0.8985830549035481	5.358073385438591	2.249025852523761	1.0	0.0	1.0	1.0	0.0	3.0	1.6731802374937477	-0.0	-0.8985830549035481	5.358073385438591	0.0	2.065478543069439	0.2955561911059135	-0.6708027285375306	0.7447189590481441	0.44570809792591815	1.0	0.0	1.0	1.0	0.0	3.0	2.065478543069439	0.0	-0.6708027285375306	0.7447189590481441	0.0	0.0
70000	-1588.4737129972493	-163.4245084446523	-1425.049204552597	0.08811631556374046	0.7364412869570084	0.9863758347521429	-0.566672524666212	5.390792294010206	-4.241869367152799	1.0	1.0	1.0	1.0	0.0	4.0	0.7364412869570084	0.9863758347521429	-0.566672524666212	5.390792294010206	-0.0	1.8087142847188686	3.2559786118804905	-0.7545517502319489	0.42757181347748285	-0.3956653936254964	1.0	0.0	1.0	1.0	0.0	3.0	1.8087142847188686	0.0	-0.7545517502319489	0.42757181347748285	-0.0	0.0
80000	-1576.5534236456474	-167.7876725325578	-1408.7657511130897	0.0849091148416126	1.2147657748395406	0.4350309078632387	-0.8340904378755375	5.3595539694883385	-0.09032632737062597	1.0	1.0	1.0	1.0	0.0	4.0	1.2147657748395406	0.4350309078632387	-0.8340904378755375	5.3595539694883385	-0.0	2.1593500053746997	3.721809389187634	-0.5881898683386894	0.6008852605970095	0.12755973480718788	1.0	0.0	1.0	1.0	0.0	3.0	2.1593500053746997	0.0	-0.5881898683386894	0.6008852605970095	0.0	0.0
90000	-1577.587953351228	-148.44614684909502	-1429.141806502133	0.07776784758441138	1.5044753220731628	-0.7194012112073058	-0.5839415364540347	4.844107071506038	1.1106585559815767	1.0	0.0	1.0	1.0	0.0	3.0	1.5044753220731628	-0.0	-0.5839415364540347	4.844107071506038	0.0	2.0040378454768617	0.4181425660422276	-0.6668161731474316	0.3879556425061364	-0.5428050028638168	1.0	0.0	1.0	1.0	0.0	3.0	2.0040378454768617	0.0	-0.6668161731474316	0.3879556425061364	-0.0	0.0
